puzzle_id,dataset,domain,s1_correct,s1_parse_success,s1_tokens,s1_latency_ms,switch_escalated,switch_confidence,switch_complexity,switch_tokens,switch_latency_ms,switch_label
lsat_56,LSAT-AR,SAT,True,True,599,6441.708500031382,False,9,N/A,707,3517.238800006453,TN
logicbench_propositional_logic_modus_tollens_4,LogicBench,SAT,True,True,143,1917.548600002192,False,8,N/A,821,3646.279999986291,TN
logicbench_propositional_logic_modus_tollens_16,LogicBench,SAT,True,True,142,1726.1135999578983,False,9,N/A,482,2776.54359996086,TN
satbench_558,SATBench,SATBench,False,True,936,6953.229599981569,False,8,N/A,1036,7637.72549998248,FN
1-hamburger-0843,PuzzleClone,PuzzleClone,False,True,558,2766.5913000237197,True,0,N/A,1285,6920.002200000454,TP
45-sister-0944,PuzzleClone,PuzzleClone,False,True,803,4089.7971999947913,True,0,N/A,1160,6319.666900031734,TP
lsat_2,LSAT-AR,SAT,True,True,789,4291.517500008922,False,8,N/A,1030,4647.571699984837,TN
satbench_1878,SATBench,SATBench,False,True,49,1659.6665999968536,True,0,N/A,1452,8294.283499999437,TP
45-sister-0208,PuzzleClone,PuzzleClone,False,True,1142,5678.105799946934,True,2,N/A,1149,6893.874200002756,TP
logicbench_first_order_logic_existential_generalization_5,LogicBench,SAT,True,True,85,795.7574000465684,False,10,N/A,461,2257.171000004746,TN
lsat_217,LSAT-AR,SAT,True,True,931,6007.012399961241,False,10,N/A,726,5107.599999988452,TN
aspbench_62_drug_interaction,ASPBench,ASPBench,True,True,564,3494.0043999813497,False,9,N/A,695,2751.3870000257157,TN
aspbench_26_tower_of_hanoi,ASPBench,ASPBench,False,True,881,4827.215199999046,True,0,N/A,640,3059.093900024891,TP
aspbench_31_network_flow,ASPBench,ASPBench,True,True,114,1333.2717000157572,False,10,N/A,1149,6970.542799972463,TN
aspbench_04_blocks_world,ASPBench,ASPBench,False,True,159,2316.892899980303,True,0,N/A,565,2439.7386999917217,TP
satbench_717,SATBench,SATBench,True,True,268,3430.7589000090957,False,10,N/A,573,4227.864000014961,TN
logicbench_non_monotonic_logic_reasoning_about_exceptions_2_12,LogicBench,SAT,True,True,419,2161.3835000316612,True,0,N/A,898,3516.0548000130802,FP
46-elevator-0767,PuzzleClone,PuzzleClone,False,True,2213,17622.5896999822,False,8,N/A,651,3272.9681999771856,FN
folio_3,FOLIO,NLI,True,True,629,5286.1744000110775,False,9,N/A,962,5632.3422999703325,TN
satbench_416,SATBench,SATBench,True,True,282,3785.7051999890245,False,10,N/A,738,5543.76890003914,TN
lsat_94,LSAT-AR,SAT,True,True,364,2193.3837000397034,False,9,N/A,756,3293.628900020849,TN
folio_116,FOLIO,NLI,False,True,145,1163.402300036978,True,0,N/A,834,3952.1160000003874,TP
aspbench_14_cryptarithmetic,ASPBench,ASPBench,True,True,109,1622.278800001368,False,10,N/A,590,3194.5549999945797,TN
logicbench_propositional_logic_commutation_13,LogicBench,SAT,True,True,274,1590.5272000236437,False,9,N/A,750,4209.208799991757,TN
53-daughter-0059,PuzzleClone,PuzzleClone,False,True,457,3393.6540000140667,False,10,N/A,734,3646.829599980265,FN
folio_28,FOLIO,NLI,True,True,475,4211.879400012549,False,9,N/A,857,5110.990199958906,TN
lsat_151,LSAT-AR,SAT,True,True,1354,5102.413000015076,False,9,N/A,797,4238.0691000144,TN
satbench_1346,SATBench,SATBench,True,True,282,3667.301200039219,False,10,N/A,963,6070.398399955593,TN
folio_7,FOLIO,NLI,True,True,68,1032.4147999635898,False,8,N/A,561,3408.8267000042833,TN
folio_44,FOLIO,NLI,True,True,443,3511.910400004126,False,9,N/A,781,4940.627000003587,TN
